Slovak,English,ktorý,which
English,Slovak,shriveled,zvädnutie
English,Slovak,conceive,otehotnieť
French,English,saisir,grab
French,English,avis,view
French,English,devant,in front of
French,English,heurter,hit
French,English,sembler,appear
French,English,tandis que,while
French,English,perçante,piercing
French,English,colère,anger
French,English,prendre,take
French,English,déjà,already
French,English,bouger,move
French,English,comportement,behavior
French,English,au cours,during
French,English,raconter,tell
French,English,également,also
French,English,voler,steal
French,English,partout,all over
French,English,avérer,prove
French,English,pendant,while
French,English,proche,close
French,English,autour,around
French,English,agir,to act
French,English,ainsi,so
French,English,stupéfiant,amazing
French,English,inspirer,Inspire
French,English,précis,specific
French,English,confier,entrust
French,English,désormais,from now on
French,English,rester,"to stay, to remain"
French,English,lever,raise
French,English,bond,jump
French,English,pareille,like
French,English,hurler,to scream
French,English,réclamer,claim
French,English,éteinte,extinguished
French,English,étonnée,surprised
French,English,avenir,to come up
French,English,vaut,worth
French,English,grandir,grow
French,English,avaler,swallow
French,English,dessous,below
French,English,sage,wise
French,English,réticence,reluctance
French,English,briser,to break
French,English,bruit,noise
French,English,augmenter,increase
French,English,tomber,fall
French,English,atterrir,to land
French,English,peine,trouble
French,English,soulagement,relief
French,English,emprunter,borrow
French,English,prêter,to lend
French,English,pencher,lean
French,English,râpeux,rough
French,English,siffler,whistle
French,English,réveiller,wake
French,English,sangloter,sob
French,English,éteindre,switch off
French,English,aussitôt,immediately
French,English,davantage,more
French,English,rompre,to break up
French,English,auparavant,previously
French,English,dépêcher,hurry
French,English,paraître,look
French,English,emmener,bring
French,English,éviter,to avoid
French,English,sommeil,sleep
French,English,éprouver,experience
French,English,corps,body
French,English,bâillement,yawning
French,English,morceau,piece
French,English,fierté,pride
French,English,bas,low
French,English,surtout,mostly
French,English,résoudre,solve
French,English,heurter,to hit
French,English,mener,lead
French,English,essoufflé,out of breath
French,English,auparavant,before
French,English,haute,high
French,English,plaindre,complain
French,English,foule,crowd
French,English,prudemment,cautiously
French,English,vendre,sale
French,English,minuscule,tiny
French,English,enseigner,teach
French,English,rencontrer,meet